architecture,regime,seed,dataset,alpha_train,alpha_test,acc,loss
mlp_small,clean,0,cifar10,0.5,0.0,0.4824,1.4443333477020264
mlp_small,clean,0,cifar10,0.5,0.01,0.4824,1.4444418711090088
mlp_small,clean,0,cifar10,0.5,0.02,0.4838,1.443048126487732
mlp_small,clean,0,cifar10,0.5,0.05,0.48319999999999996,1.446240008659363
mlp_small,clean,0,cifar10,0.5,0.1,0.48208,1.4507763218307494
mlp_small,clean,0,cifar10,0.5,0.2,0.48188,1.452623225440979
mlp_small,clean,1,cifar10,0.5,0.0,0.5035,1.4096877487182617
mlp_small,clean,1,cifar10,0.5,0.01,0.50316,1.4101542960739137
mlp_small,clean,1,cifar10,0.5,0.02,0.5031800000000001,1.4097348274612427
mlp_small,clean,1,cifar10,0.5,0.05,0.50148,1.4112416204833984
mlp_small,clean,1,cifar10,0.5,0.1,0.49695999999999996,1.4169684321212768
mlp_small,clean,1,cifar10,0.5,0.2,0.48762,1.4460425745391845
mlp_small,clean,2,cifar10,0.5,0.0,0.4818,1.4458123727798462
mlp_small,clean,2,cifar10,0.5,0.01,0.48202,1.4457309849548339
mlp_small,clean,2,cifar10,0.5,0.02,0.48216000000000003,1.4457214379119872
mlp_small,clean,2,cifar10,0.5,0.05,0.48136,1.4473056421279906
mlp_small,clean,2,cifar10,0.5,0.1,0.48052,1.4505448901367188
mlp_small,clean,2,cifar10,0.5,0.2,0.47096,1.4719956541442871
mlp_small,noisy,0,cifar10,0.5,0.0,0.4656,1.496235418701172
mlp_small,noisy,0,cifar10,0.5,0.01,0.46593999999999997,1.4963565698623658
mlp_small,noisy,0,cifar10,0.5,0.02,0.46647999999999995,1.4958813677978515
mlp_small,noisy,0,cifar10,0.5,0.05,0.46658,1.4956797606658936
mlp_small,noisy,0,cifar10,0.5,0.1,0.4655,1.4995743397140502
mlp_small,noisy,0,cifar10,0.5,0.2,0.46042000000000005,1.5065014990234373
mlp_small,noisy,1,cifar10,0.5,0.0,0.4744,1.4705225130081176
mlp_small,noisy,1,cifar10,0.5,0.01,0.47412,1.4704259700393678
mlp_small,noisy,1,cifar10,0.5,0.02,0.4744,1.4706525844955445
mlp_small,noisy,1,cifar10,0.5,0.05,0.47356,1.471647073173523
mlp_small,noisy,1,cifar10,0.5,0.1,0.47309999999999997,1.4722126163864135
mlp_small,noisy,1,cifar10,0.5,0.2,0.47012,1.479778995475769
mlp_small,noisy,2,cifar10,0.5,0.0,0.4747,1.4746097673416139
mlp_small,noisy,2,cifar10,0.5,0.01,0.47504,1.474485965270996
mlp_small,noisy,2,cifar10,0.5,0.02,0.47506000000000004,1.4747321195983887
mlp_small,noisy,2,cifar10,0.5,0.05,0.47436,1.4750882878875733
mlp_small,noisy,2,cifar10,0.5,0.1,0.473,1.4765139087295531
mlp_small,noisy,2,cifar10,0.5,0.2,0.47379999999999994,1.479679722557068
mlp_small,clean,0,cifar10,0.5,0.0,0.4824,1.4443333477020264
mlp_small,clean,0,cifar10,0.5,0.01,0.48292,1.444095765914917
mlp_small,clean,0,cifar10,0.5,0.02,0.48292,1.4441216852951049
mlp_small,clean,0,cifar10,0.5,0.05,0.48145999999999994,1.4470660641860964
mlp_small,clean,0,cifar10,0.5,0.1,0.48228,1.4510907516479492
mlp_small,clean,0,cifar10,0.5,0.2,0.4774,1.4653442923736573
mlp_small,clean,1,cifar10,0.5,0.0,0.5035,1.4096877487182617
mlp_small,clean,1,cifar10,0.5,0.01,0.5035000000000001,1.4100028997802734
mlp_small,clean,1,cifar10,0.5,0.02,0.5024599999999999,1.4107880103302002
mlp_small,clean,1,cifar10,0.5,0.05,0.4984,1.4129079729461669
mlp_small,clean,1,cifar10,0.5,0.1,0.4984,1.4141306079101563
mlp_small,clean,1,cifar10,0.5,0.2,0.4857,1.4465988019561768
mlp_small,clean,2,cifar10,0.5,0.0,0.4818,1.4458123727798462
mlp_small,clean,2,cifar10,0.5,0.01,0.48216000000000003,1.446368949508667
mlp_small,clean,2,cifar10,0.5,0.02,0.48202,1.4448046642303467
mlp_small,clean,2,cifar10,0.5,0.05,0.48125999999999997,1.4478948888397216
mlp_small,clean,2,cifar10,0.5,0.1,0.48026,1.4519220399093626
mlp_small,clean,2,cifar10,0.5,0.2,0.47598,1.4617577430725097
mlp_small,noisy,0,cifar10,0.5,0.0,0.4656,1.496235418701172
mlp_small,noisy,0,cifar10,0.5,0.01,0.466,1.4961558304595948
mlp_small,noisy,0,cifar10,0.5,0.02,0.466,1.496637190055847
mlp_small,noisy,0,cifar10,0.5,0.05,0.46714,1.4963128495788574
mlp_small,noisy,0,cifar10,0.5,0.1,0.46576000000000006,1.4982211736297608
mlp_small,noisy,0,cifar10,0.5,0.2,0.46514,1.501449654159546
mlp_small,noisy,1,cifar10,0.5,0.0,0.4744,1.4705225130081176
mlp_small,noisy,1,cifar10,0.5,0.01,0.4742,1.4705626615142822
mlp_small,noisy,1,cifar10,0.5,0.02,0.47444,1.4703045779418944
mlp_small,noisy,1,cifar10,0.5,0.05,0.47316,1.4719487704467773
mlp_small,noisy,1,cifar10,0.5,0.1,0.47182,1.4734844068527222
mlp_small,noisy,1,cifar10,0.5,0.2,0.4685,1.4822054023742675
mlp_small,noisy,2,cifar10,0.5,0.0,0.4747,1.4746097673416139
mlp_small,noisy,2,cifar10,0.5,0.01,0.47444,1.474823179740906
mlp_small,noisy,2,cifar10,0.5,0.02,0.47456000000000004,1.4744985806655884
mlp_small,noisy,2,cifar10,0.5,0.05,0.47428,1.4750100521850587
