architecture,regime,seed,alpha_train,alpha_test,acc,loss
mlp_small,clean,0,0.0,0.0,0.9807,0.0751314684033423
mlp_small,clean,0,0.0,0.01,0.9807600000000001,0.07510941225467424
mlp_small,clean,0,0.0,0.02,0.98074,0.07527290275599692
mlp_small,clean,0,0.0,0.05,0.98088,0.07520744489224104
mlp_small,clean,0,0.0,0.1,0.98048,0.07668474976503523
mlp_small,clean,0,0.0,0.2,0.9801400000000001,0.07955182301490335
mlp_small,clean,1,0.0,0.0,0.9777,0.09123372099287808
mlp_small,clean,1,0.0,0.01,0.97782,0.09120682113587857
mlp_small,clean,1,0.0,0.02,0.97766,0.09107030616316944
mlp_small,clean,1,0.0,0.05,0.97744,0.09255621776271612
mlp_small,clean,1,0.0,0.1,0.9772399999999999,0.09248743264686317
mlp_small,clean,1,0.0,0.2,0.97774,0.09112170813705774
mlp_small,clean,2,0.0,0.0,0.9801,0.07426228059731947
mlp_small,clean,2,0.0,0.01,0.98016,0.07411908454821386
mlp_small,clean,2,0.0,0.02,0.9799599999999999,0.07414587177417241
mlp_small,clean,2,0.0,0.05,0.9799,0.07478903279170801
mlp_small,clean,2,0.0,0.1,0.9795999999999999,0.07571072380919999
mlp_small,clean,2,0.0,0.2,0.9795999999999999,0.07738504193022906
mlp_small,noisy,0,0.0,0.0,0.9777,0.08560599247246282
mlp_small,noisy,0,0.0,0.01,0.9777799999999999,0.0855557162941742
mlp_small,noisy,0,0.0,0.02,0.9777799999999999,0.08561011317014577
mlp_small,noisy,0,0.0,0.05,0.9778800000000001,0.08552069054764463
mlp_small,noisy,0,0.0,0.1,0.9775,0.08654821018693795
mlp_small,noisy,0,0.0,0.2,0.97576,0.09319936379608815
mlp_small,noisy,1,0.0,0.0,0.9796,0.07767497041180614
mlp_small,noisy,1,0.0,0.01,0.97966,0.07769878165918781
mlp_small,noisy,1,0.0,0.02,0.9795,0.07771711758804159
mlp_small,noisy,1,0.0,0.05,0.97972,0.07803481460935617
mlp_small,noisy,1,0.0,0.1,0.97994,0.07782488298485092
mlp_small,noisy,1,0.0,0.2,0.97926,0.08061179329960069
mlp_small,noisy,2,0.0,0.0,0.9798,0.08265744602462219
mlp_small,noisy,2,0.0,0.01,0.97956,0.08269418173082202
mlp_small,noisy,2,0.0,0.02,0.97952,0.08258865148590062
mlp_small,noisy,2,0.0,0.05,0.9792200000000001,0.08290431775737553
mlp_small,noisy,2,0.0,0.1,0.97944,0.08293092109356395
mlp_small,noisy,2,0.0,0.2,0.97902,0.0853502705454646
mlp_small,clean,0,0.5,0.0,0.9807,0.0751314684033423
mlp_small,clean,0,0.5,0.01,0.98066,0.07518773664114997
mlp_small,clean,0,0.5,0.02,0.98072,0.07508228883688746
mlp_small,clean,0,0.5,0.05,0.9808999999999999,0.07508594308839413
mlp_small,clean,0,0.5,0.1,0.98044,0.07725443268466042
mlp_small,clean,0,0.5,0.2,0.9797800000000001,0.0813621490375686
mlp_small,clean,1,0.5,0.0,0.9777,0.09123372099287808
mlp_small,clean,1,0.5,0.01,0.9776400000000001,0.09126754183540121
mlp_small,clean,1,0.5,0.02,0.97758,0.09144096933208405
mlp_small,clean,1,0.5,0.05,0.97774,0.09110796375064178
mlp_small,clean,1,0.5,0.1,0.97726,0.0925648379980214
mlp_small,clean,1,0.5,0.2,0.9772399999999999,0.09275169602402486
mlp_small,clean,2,0.5,0.0,0.9801,0.07426228059731947
mlp_small,clean,2,0.5,0.01,0.9800599999999999,0.07421551790697616
mlp_small,clean,2,0.5,0.02,0.98004,0.0742818697567511
mlp_small,clean,2,0.5,0.05,0.9803599999999999,0.07419164077411988
mlp_small,clean,2,0.5,0.1,0.9803200000000001,0.07412384645211277
mlp_small,clean,2,0.5,0.2,0.9792,0.07956407622483211
mlp_small,noisy,0,0.5,0.0,0.9805,0.07898762029011487
mlp_small,noisy,0,0.5,0.01,0.98058,0.07909056085151649
mlp_small,noisy,0,0.5,0.02,0.98052,0.07907220043167748
mlp_small,noisy,0,0.5,0.05,0.9808,0.07871378720737092
mlp_small,noisy,0,0.5,0.1,0.98056,0.07952494951055537
mlp_small,noisy,0,0.5,0.2,0.9802199999999999,0.07972572792196383
mlp_small,noisy,1,0.5,0.0,0.9794,0.08010842635308217
mlp_small,noisy,1,0.5,0.01,0.97944,0.08011881361182546
mlp_small,noisy,1,0.5,0.02,0.9792400000000001,0.08012262379053689
mlp_small,noisy,1,0.5,0.05,0.97934,0.08004410192851792
mlp_small,noisy,1,0.5,0.1,0.9794,0.08073121259807725
mlp_small,noisy,1,0.5,0.2,0.9790599999999999,0.08266904869338207
mlp_small,noisy,2,0.5,0.0,0.9805,0.08107830031305639
mlp_small,noisy,2,0.5,0.01,0.98062,0.08111699435132498
mlp_small,noisy,2,0.5,0.02,0.98064,0.08103969529652794
mlp_small,noisy,2,0.5,0.05,0.9805400000000001,0.08118813875129068
mlp_small,noisy,2,0.5,0.1,0.98066,0.08160255834034935
mlp_small,noisy,2,0.5,0.2,0.98088,0.08220525089848611
